epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6465.92,0.65345,0.31502,0.97102,0.95758,0.94337,0.96738,0.73572,0.96748,0.38747,1.27071,0.0003268,0.0003268,0.0003268
70,6558.61,0.64373,0.30949,0.96622,0.95489,0.94848,0.96912,0.73464,0.9669,0.38349,1.27323,0.0003169,0.0003169,0.0003169
71,6651.3,0.64279,0.30549,0.96893,0.96716,0.93372,0.96882,0.7342,0.96848,0.38417,1.2751,0.000307,0.000307,0.000307
72,6744.12,0.6325,0.30393,0.96395,0.95009,0.95237,0.96872,0.73604,0.97013,0.38586,1.28075,0.0002971,0.0002971,0.0002971
73,6836.88,0.62866,0.30292,0.96176,0.95696,0.94416,0.9689,0.73579,0.97104,0.38666,1.28046,0.0002872,0.0002872,0.0002872
74,6929.66,0.61998,0.29852,0.95836,0.94522,0.95229,0.96889,0.73608,0.96658,0.38699,1.27877,0.0002773,0.0002773,0.0002773
75,7022.24,0.61608,0.29678,0.95739,0.94765,0.94974,0.96897,0.73908,0.96807,0.38588,1.28103,0.0002674,0.0002674,0.0002674
76,7114.83,0.6126,0.29819,0.95607,0.94781,0.95487,0.96709,0.73557,0.97362,0.38854,1.28887,0.0002575,0.0002575,0.0002575
77,7207.52,0.59957,0.28973,0.95002,0.94366,0.9577,0.96833,0.73572,0.97178,0.39001,1.28982,0.0002476,0.0002476,0.0002476
78,7300.08,0.60272,0.29264,0.95002,0.95717,0.94621,0.96773,0.73592,0.96964,0.38183,1.28912,0.0002377,0.0002377,0.0002377
79,7392.73,0.59633,0.29002,0.94571,0.95343,0.9473,0.96885,0.73708,0.97083,0.38272,1.29256,0.0002278,0.0002278,0.0002278
80,7485.26,0.58899,0.28663,0.94399,0.96079,0.94199,0.96734,0.73452,0.97269,0.38065,1.29545,0.0002179,0.0002179,0.0002179
81,7577.8,0.58494,0.28368,0.94256,0.94817,0.95965,0.96906,0.73638,0.97184,0.37939,1.29479,0.000208,0.000208,0.000208
